mes;vacinas;passageiros;decolagens;;;;
set/20;0; 3.134.461 ; 27.677 ;;;;
out/20;0; 4.200.135 ; 36.591 ;;;;
nov/20;0; 4.891.143 ; 41.444 ;;;;
dez/20;0; 5.746.131 ; 49.768 ;;;;
jan/21; 3.085.796 ; 6.201.988 ; 53.735 ;;;;
fev/21; 9.831.981 ; 4.420.805 ; 39.528 ;;;;
mar/21; 26.817.089 ; 3.304.443 ; 35.343 ;;;;
abr/21; 50.331.513 ; 2.712.666 ; 25.257 ;;;;
mai/21; 71.638.491 ; 3.721.932 ; 32.144 ;;;;
jun/21; 102.667.265 ; 4.319.149 ; 37.559 ;;;;
jul/21; 142.996.235 ; 5.978.899 ; 49.305 ;;;;
ago/21; 190.896.876 ; 5.618.334 ; 49.390 ;;;;
